TIME_PERIOD,REF_AREA,OBS_VALUE
2011-Q2,BG,19276.0
2011-Q3,BG,19297.0
2011-Q4,BG,19255.0
2012-Q1,BG,19134.0
2012-Q2,BG,19143.0
2012-Q3,BG,19040.0
2012-Q4,BG,18939.0
2013-Q1,BG,18813.0
2013-Q2,BG,18881.0
2013-Q3,BG,18827.0
2013-Q4,BG,18990.0
2014-Q1,BG,18918.0
2014-Q2,BG,19043.0
2014-Q3,BG,18972.0
2014-Q4,BG,18825.0
2015-Q1,BG,18752.0
2015-Q2,BG,18852.0
2015-Q3,BG,18938.0
2015-Q4,BG,18830.0
2016-Q1,BG,18711.0
2016-Q2,BG,19000.0
2016-Q3,BG,19335.0
2016-Q4,BG,19575.0
2017-Q1,BG,19973.0
2017-Q2,BG,20586.0
2017-Q3,BG,20925.0
2017-Q4,BG,21178.0
2018-Q1,BG,21646.0
2018-Q2,BG,22274.0
2018-Q3,BG,22705.0
2018-Q4,BG,23133.0
2019-Q1,BG,23573.0
2019-Q2,BG,24249.0
2019-Q3,BG,24964.0
2019-Q4,BG,25548.0
2020-Q1,BG,26130.0
2020-Q2,BG,26318.0
2020-Q3,BG,26928.0
2004-Q1,CY,8199.0
2004-Q2,CY,8450.6
2004-Q3,CY,8597.8
2004-Q4,CY,8739.9
2005-Q1,CY,9151.8
2005-Q2,CY,9630.6
2005-Q3,CY,10048.9
2005-Q4,CY,11263.1
2006-Q1,CY,11531.5
2006-Q2,CY,11873.7
2006-Q3,CY,12289.9
2006-Q4,CY,12562.1
2007-Q1,CY,13031.7
2007-Q2,CY,13923.8
2007-Q3,CY,14560.3
2007-Q4,CY,15069.8
2008-Q1,CY,15444.3
2008-Q2,CY,16218.5
2008-Q3,CY,16916.0
2008-Q4,CY,17480.5
2009-Q1,CY,17716.1
2009-Q2,CY,18068.5
2009-Q3,CY,18464.5
2009-Q4,CY,18949.7
2010-Q1,CY,19405.9
2010-Q2,CY,19961.0
2010-Q3,CY,20346.3
2010-Q4,CY,20789.7
2011-Q1,CY,21053.0
2011-Q2,CY,21382.5
2011-Q3,CY,21634.2
2011-Q4,CY,21867.2
2012-Q1,CY,21986.2
2012-Q2,CY,22168.1
2012-Q3,CY,22198.9
2012-Q4,CY,22580.6
2013-Q1,CY,22474.9
2013-Q2,CY,21541.2
2013-Q3,CY,21258.9
2013-Q4,CY,21159.3
2014-Q1,CY,21126.6
2014-Q2,CY,21003.4
2014-Q3,CY,20845.1
2014-Q4,CY,20716.5
2015-Q1,CY,20737.6
2015-Q2,CY,20638.5
2015-Q3,CY,20529.0
2015-Q4,CY,20475.3
2016-Q1,CY,20213.3
2016-Q2,CY,20013.1
2016-Q3,CY,19993.5
2016-Q4,CY,19966.5
2017-Q1,CY,20146.4
2017-Q2,CY,20095.1
2017-Q3,CY,19747.6
2017-Q4,CY,19453.0
2018-Q1,CY,18981.2
2018-Q2,CY,18797.2
2018-Q3,CY,19403.5
2018-Q4,CY,19485.4
2019-Q1,CY,19459.8
2019-Q2,CY,19116.1
2019-Q3,CY,18929.9
2019-Q4,CY,18699.3
2020-Q1,CY,18674.3
2020-Q2,CY,18767.2
2020-Q3,CY,18670.2
2004-Q1,CZ,296694.0
2004-Q2,CZ,315697.0
2004-Q3,CZ,328691.0
2004-Q4,CZ,350768.0
2005-Q1,CZ,378775.0
2005-Q2,CZ,405736.0
2005-Q3,CZ,420354.0
2005-Q4,CZ,454858.0
2006-Q1,CZ,471913.0
2006-Q2,CZ,507582.0
2006-Q3,CZ,539755.0
2006-Q4,CZ,582295.0
2007-Q1,CZ,616576.0
2007-Q2,CZ,665705.0
2007-Q3,CZ,714917.0
2007-Q4,CZ,792686.0
2008-Q1,CZ,810114.0
2008-Q2,CZ,857141.0
2008-Q3,CZ,896665.0
2008-Q4,CZ,939232.0
2009-Q1,CZ,962673.0
2009-Q2,CZ,986966.0
2009-Q3,CZ,1006448.0
2009-Q4,CZ,1026087.0
2010-Q1,CZ,1031045.0
2010-Q2,CZ,1021598.0
2010-Q3,CZ,1040129.0
2010-Q4,CZ,1058446.0
2011-Q1,CZ,1062782.0
2011-Q2,CZ,1077395.0
2011-Q3,CZ,1091043.0
2011-Q4,CZ,1110610.0
2012-Q1,CZ,1114713.0
2012-Q2,CZ,1126260.0
2012-Q3,CZ,1134957.0
2012-Q4,CZ,1151142.0
2013-Q1,CZ,1153504.0
2013-Q2,CZ,1174655.0
2013-Q3,CZ,1187566.0
2013-Q4,CZ,1201059.0
2014-Q1,CZ,1204846.0
2014-Q2,CZ,1216332.0
2014-Q3,CZ,1217158.0
2014-Q4,CZ,1230692.0
2015-Q1,CZ,1240227.0
2015-Q2,CZ,1261723.0
2015-Q3,CZ,1284299.0
2015-Q4,CZ,1309565.0
2016-Q1,CZ,1325249.0
2016-Q2,CZ,1355456.0
2016-Q3,CZ,1386131.0
2016-Q4,CZ,1415987.0
2017-Q1,CZ,1438229.0
2017-Q2,CZ,1472640.0
2017-Q3,CZ,1503054.0
2017-Q4,CZ,1533057.0
2018-Q1,CZ,1556111.0
2018-Q2,CZ,1591722.0
2018-Q3,CZ,1622522.0
2018-Q4,CZ,1652707.0
2019-Q1,CZ,1672684.0
2019-Q2,CZ,1704800.0
2019-Q3,CZ,1733646.0
2019-Q4,CZ,1758300.0
2020-Q1,CZ,1780118.0
2020-Q2,CZ,1805387.0
2020-Q3,CZ,1839082.0
2000-Q1,DE,1347999.0
2000-Q2,DE,1363157.0
2000-Q3,DE,1374344.0
