TIME_PERIOD,REF_AREA,OBS_VALUE
2011-Q2,BG,22626.0
2011-Q3,BG,22939.0
2011-Q4,BG,23645.0
2012-Q1,BG,23893.0
2012-Q2,BG,24587.0
2012-Q3,BG,24951.0
2012-Q4,BG,25199.0
2013-Q1,BG,25246.0
2013-Q2,BG,25291.0
2013-Q3,BG,25465.0
2013-Q4,BG,25410.0
2014-Q1,BG,25798.0
2014-Q2,BG,26352.0
2014-Q3,BG,26414.0
2014-Q4,BG,21446.0
2015-Q1,BG,21443.0
2015-Q2,BG,21453.0
2015-Q3,BG,21483.0
2015-Q4,BG,21023.0
2016-Q1,BG,20612.0
2016-Q2,BG,21015.0
2016-Q3,BG,21149.0
2016-Q4,BG,20883.0
2017-Q1,BG,20138.0
2017-Q2,BG,20091.0
2017-Q3,BG,20415.0
2017-Q4,BG,20359.0
2018-Q1,BG,20517.0
2018-Q2,BG,20952.0
2018-Q3,BG,21234.0
2018-Q4,BG,21461.0
2019-Q1,BG,21748.0
2019-Q2,BG,22059.0
2019-Q3,BG,22439.0
2019-Q4,BG,22853.0
2020-Q1,BG,23029.0
2020-Q2,BG,23249.0
2020-Q3,BG,23375.0
2004-Q1,CY,4741.0
2004-Q2,CY,4905.0
2004-Q3,CY,5009.0
2004-Q4,CY,5109.0
2005-Q1,CY,5382.0
2005-Q2,CY,5692.0
2005-Q3,CY,5986.0
2005-Q4,CY,6545.0
2006-Q1,CY,6998.0
2006-Q2,CY,7371.0
2006-Q3,CY,7698.0
2006-Q4,CY,7596.0
2007-Q1,CY,8210.0
2007-Q2,CY,8975.0
2007-Q3,CY,9476.0
2007-Q4,CY,10470.0
2008-Q1,CY,11273.0
2008-Q2,CY,12319.0
2008-Q3,CY,14409.0
2008-Q4,CY,15323.0
2009-Q1,CY,15395.0
2009-Q2,CY,16324.0
2009-Q3,CY,15957.0
2009-Q4,CY,15782.0
2010-Q1,CY,16378.0
2010-Q2,CY,16429.0
2010-Q3,CY,16592.0
2010-Q4,CY,16780.0
2011-Q1,CY,16736.0
2011-Q2,CY,16868.0
2011-Q3,CY,17683.0
2011-Q4,CY,17773.0
2012-Q1,CY,17545.0
2012-Q2,CY,17633.0
2012-Q3,CY,17747.0
2012-Q4,CY,17690.0
2013-Q1,CY,17736.0
2013-Q2,CY,17557.0
2013-Q3,CY,17154.0
2013-Q4,CY,17255.0
2014-Q1,CY,17294.0
2014-Q2,CY,17408.0
2014-Q3,CY,17417.0
2014-Q4,CY,16576.0
2015-Q1,CY,16879.0
2015-Q2,CY,16681.0
2015-Q3,CY,16813.0
2015-Q4,CY,16602.0
2016-Q1,CY,16281.0
2016-Q2,CY,15910.0
2016-Q3,CY,15579.0
2016-Q4,CY,15316.0
2017-Q1,CY,15234.0
2017-Q2,CY,15045.0
2017-Q3,CY,14914.0
2017-Q4,CY,14482.0
