TIME_PERIOD,REF_AREA,OBS_VALUE
2010,GB,42.5243
2011,GB,43.5487
2012,GB,42.8163
2013,GB,43.6653
2014,GB,38.8533
2015,GB,36.9935
2016,GB,35.4921
2017,GB,36.8823
2018,GB,31.8202
2019,GB,31.2097
1997,GR,56.0
1998,GR,63.0
1999,GR,67.0
2000,GR,65.0
2001,GR,67.0
2002,GR,67.4
2003,GR,66.9
2004,GR,65.0
2005,GR,65.6
2006,GR,66.3
2007,GR,67.7
2008,GR,69.6
2009,GR,69.24
2010,GR,70.64
2011,GR,71.99
2012,GR,79.47
2013,GR,94.01
2014,GR,94.06
2015,GR,95.23
2016,GR,97.28
2017,GR,96.98
2018,GR,96.83
2019,GR,97.35
2012,HR,73.9386
2013,HR,72.8516
2014,HR,72.2748
2015,HR,72.6535
2016,HR,73.0039
2017,HR,72.787
2018,HR,79.418
2019,HR,79.7917
1997,HU,51.944
1998,HU,52.8176
1999,HU,52.2691
2000,HU,51.8274
2001,HU,56.40478
2002,HU,54.4524
2003,HU,52.1477
2004,HU,52.6626
2005,HU,53.2297
2006,HU,53.5311
2007,HU,54.0808
2008,HU,54.4493
2009,HU,55.1829
2010,HU,54.6443
2011,HU,54.6259
2012,HU,54.0177
2013,HU,51.8939
2014,HU,49.3042
2015,HU,49.3757
2016,HU,49.83
2017,HU,49.6396
2018,HU,49.9984
2019,HU,52.6918
1997,IE,40.959
1998,IE,40.3676
1999,IE,41.07
2000,IE,41.11
2001,IE,42.5
2002,IE,46.09
2003,IE,44.42
2004,IE,45.89
2005,IE,47.78
2006,IE,48.96
2007,IE,50.39
2008,IE,50.3445
2009,IE,52.5752
2010,IE,49.8843
2011,IE,46.7232
2012,IE,46.4
2013,IE,47.8299
2014,IE,47.5646
2015,IE,45.9344
2016,IE,44.2679
2017,IE,45.5129
2018,IE,46.1318
2019,IE,49.7149
1997,IT,
1998,IT,25.18
1999,IT,25.58
2000,IT,22.68
2001,IT,28.97
2002,IT,30.519
2003,IT,27.5002
2004,IT,26.44
2005,IT,26.8292
2006,IT,26.2386
2007,IT,33.051
2008,IT,31.1843
2009,IT,30.9568
2010,IT,39.8376
2011,IT,39.4649
2012,IT,39.681
2013,IT,39.5977
