TIME_PERIOD,REF_AREA,OBS_VALUE
2000-Q1,AT,38166.0
2000-Q2,AT,38289.0
2000-Q3,AT,38411.0
2000-Q4,AT,38875.0
2001-Q1,AT,36791.0
2001-Q2,AT,37709.0
2001-Q3,AT,36649.0
2001-Q4,AT,37186.0
2002-Q1,AT,36154.0
2002-Q2,AT,36381.0
2002-Q3,AT,35806.0
2002-Q4,AT,36628.0
2003-Q1,AT,34265.0
2003-Q2,AT,34522.0
2003-Q3,AT,33357.0
2003-Q4,AT,33648.0
2004-Q1,AT,32612.0
2004-Q2,AT,33379.0
2004-Q3,AT,32993.0
2004-Q4,AT,33016.0
2005-Q1,AT,32712.0
2005-Q2,AT,32814.0
2005-Q3,AT,32691.0
2005-Q4,AT,35308.0
2006-Q1,AT,35043.0
2006-Q2,AT,36059.0
2006-Q3,AT,36094.0
2006-Q4,AT,34805.0
2007-Q1,AT,33791.0
2007-Q2,AT,35972.0
2007-Q3,AT,35610.0
2007-Q4,AT,35120.0
2008-Q1,AT,36324.0
2008-Q2,AT,37572.0
2008-Q3,AT,38540.0
2008-Q4,AT,39430.0
2009-Q1,AT,39783.0
2009-Q2,AT,38401.0
2009-Q3,AT,37552.0
2009-Q4,AT,35510.0
2010-Q1,AT,35798.0
2010-Q2,AT,35554.0
2010-Q3,AT,34858.0
2010-Q4,AT,34905.0
2011-Q1,AT,34686.0
2011-Q2,AT,35646.0
2011-Q3,AT,36524.0
2011-Q4,AT,36029.0
2012-Q1,AT,36255.0
2012-Q2,AT,37049.0
2012-Q3,AT,37419.0
2012-Q4,AT,36521.0
2013-Q1,AT,36630.0
2013-Q2,AT,36394.0
2013-Q3,AT,34736.0
2013-Q4,AT,33254.0
2014-Q1,AT,34302.0
2014-Q2,AT,35359.0
2014-Q3,AT,34979.0
2014-Q4,AT,32139.0
2015-Q1,AT,32244.0
2015-Q2,AT,31876.0
2015-Q3,AT,31189.0
2015-Q4,AT,30219.0
2016-Q1,AT,30130.0
2016-Q2,AT,30363.0
2016-Q3,AT,27728.0
2016-Q4,AT,28122.0
2017-Q1,AT,27524.0
2017-Q2,AT,27603.0
2017-Q3,AT,26312.0
2017-Q4,AT,27912.0
2018-Q1,AT,29999.0
2018-Q2,AT,29532.0
2018-Q3,AT,30178.0
2018-Q4,AT,30481.0
2019-Q1,AT,31894.0
2019-Q2,AT,30752.0
2019-Q3,AT,29351.0
2019-Q4,AT,27798.0
2020-Q1,AT,28637.0
2020-Q2,AT,27338.0
2020-Q3,AT,25095.0
2000-Q1,BE,38796.66
2000-Q2,BE,41911.37
2000-Q3,BE,42332.67
2000-Q4,BE,37790.44
2001-Q1,BE,39281.43
2001-Q2,BE,39810.66
2001-Q3,BE,38437.35
2001-Q4,BE,35855.88
2002-Q1,BE,36443.96
2002-Q2,BE,35524.61
2002-Q3,BE,34079.68
2002-Q4,BE,32645.9
2003-Q1,BE,30986.34
2003-Q2,BE,32957.21
2003-Q3,BE,31155.1
2003-Q4,BE,29543.81
2004-Q1,BE,30712.72
2004-Q2,BE,31410.95
2004-Q3,BE,32449.17
2004-Q4,BE,32064.16
2005-Q1,BE,31766.27
2005-Q2,BE,32155.53
2005-Q3,BE,30688.43
2005-Q4,BE,31121.94
2006-Q1,BE,31751.94
2006-Q2,BE,31967.75
2006-Q3,BE,32234.36
2006-Q4,BE,30902.75
2007-Q1,BE,31549.09
2007-Q2,BE,34295.22
2007-Q3,BE,35266.38
2007-Q4,BE,35321.29
2008-Q1,BE,35912.71
2008-Q2,BE,38851.88
2008-Q3,BE,38057.98
2008-Q4,BE,38125.64
2009-Q1,BE,36800.26
2009-Q2,BE,38153.33
2009-Q3,BE,34102.74
2009-Q4,BE,32647.77
2010-Q1,BE,31825.93
2010-Q2,BE,33353.08
2010-Q3,BE,32630.42
2010-Q4,BE,32811.84
2011-Q1,BE,32930.65
2011-Q2,BE,36669.09
2011-Q3,BE,34207.95
2011-Q4,BE,34123.72
2012-Q1,BE,33604.25
2012-Q2,BE,34071.32
2012-Q3,BE,33014.41
2012-Q4,BE,32438.05
2013-Q1,BE,32885.51
2013-Q2,BE,33403.75
2013-Q3,BE,31744.11
2013-Q4,BE,32272.12
2014-Q1,BE,32225.71
2014-Q2,BE,32674.47
2014-Q3,BE,32459.09
2014-Q4,BE,32041.99
2015-Q1,BE,33096.04
2015-Q2,BE,32996.24
2015-Q3,BE,31940.34
2015-Q4,BE,31506.4
2016-Q1,BE,32563.02
2016-Q2,BE,33606.25
2016-Q3,BE,32283.96
2016-Q4,BE,32252.43
2017-Q1,BE,33754.28
2017-Q2,BE,35461.57
2017-Q3,BE,33589.13
2017-Q4,BE,34311.05
2018-Q1,BE,34802.33
2018-Q2,BE,37168.47
2018-Q3,BE,36827.53
2018-Q4,BE,37061.41
2019-Q1,BE,36962.34
2019-Q2,BE,39037.83
2019-Q3,BE,37973.0
2019-Q4,BE,37413.98
2020-Q1,BE,40239.66
2020-Q2,BE,39348.09
2020-Q3,BE,36608.53
2006-Q4,BG,5564.0
2007-Q1,BG,6237.0
2007-Q2,BG,7421.0
2007-Q3,BG,8372.0
2007-Q4,BG,9181.0
2008-Q1,BG,9458.0
2008-Q2,BG,10869.0
2008-Q3,BG,11565.0
2008-Q4,BG,11419.0
2009-Q1,BG,11138.0
2009-Q2,BG,10840.0
2009-Q3,BG,10695.0
2009-Q4,BG,10551.0
2010-Q1,BG,10233.0
2010-Q2,BG,10261.0
2010-Q3,BG,10156.0
2010-Q4,BG,10515.0
2011-Q1,BG,10299.0
2011-Q2,BG,10133.0
2011-Q3,BG,10406.0
2011-Q4,BG,10482.0
2012-Q1,BG,10306.0
2012-Q2,BG,10490.0
2012-Q3,BG,10548.0
2012-Q4,BG,10750.0
2013-Q1,BG,10533.0
2013-Q2,BG,10533.0
2013-Q3,BG,10539.0
2013-Q4,BG,10639.0
2014-Q1,BG,10671.0
2014-Q2,BG,10668.0
2014-Q3,BG,10863.0
2014-Q4,BG,10528.0
2015-Q1,BG,10419.0
2015-Q2,BG,10413.0
2015-Q3,BG,10479.0
2015-Q4,BG,10358.0
2016-Q1,BG,10319.0
2016-Q2,BG,10239.0
2016-Q3,BG,10240.0
2016-Q4,BG,10521.0
2017-Q1,BG,11465.0
2017-Q2,BG,11630.0
2017-Q3,BG,11791.0
2017-Q4,BG,11501.0
2018-Q1,BG,11814.0
2018-Q2,BG,11982.0
2018-Q3,BG,12214.0
2018-Q4,BG,12044.0
2019-Q1,BG,12209.0
2019-Q2,BG,12355.0
2019-Q3,BG,12603.0
2019-Q4,BG,12620.0
2020-Q1,BG,12693.0
2020-Q2,BG,12127.0
2020-Q3,BG,12392.0
2004-Q1,CY,2390.0
2004-Q2,CY,2473.0
2004-Q3,CY,2525.0
2004-Q4,CY,2576.0
2005-Q1,CY,2713.0
2005-Q2,CY,2870.0
2005-Q3,CY,3018.0
2005-Q4,CY,3637.0
2006-Q1,CY,3734.0
2006-Q2,CY,4008.0
2006-Q3,CY,3870.0
2006-Q4,CY,3887.0
2007-Q1,CY,3935.0
2007-Q2,CY,4308.0
2007-Q3,CY,4344.0
2007-Q4,CY,4401.0
2008-Q1,CY,4699.0
2008-Q2,CY,4871.0
2008-Q3,CY,4964.0
2008-Q4,CY,5091.0
2009-Q1,CY,5153.0
2009-Q2,CY,4868.0
2009-Q3,CY,4844.0
2009-Q4,CY,4978.0
2010-Q1,CY,5291.0
2010-Q2,CY,5313.0
2010-Q3,CY,5234.0
2010-Q4,CY,5392.0
2011-Q1,CY,5682.0
2011-Q2,CY,5933.0
2011-Q3,CY,5967.0
2011-Q4,CY,5984.0
2012-Q1,CY,6288.0
2012-Q2,CY,6307.0
2012-Q3,CY,6205.0
2012-Q4,CY,6151.0
2013-Q1,CY,6139.0
2013-Q2,CY,5896.0
2013-Q3,CY,5677.0
2013-Q4,CY,5548.0
2014-Q1,CY,5538.0
2014-Q2,CY,5603.0
2014-Q3,CY,5652.0
2014-Q4,CY,5651.0
2015-Q1,CY,5683.0
2015-Q2,CY,5698.0
2015-Q3,CY,5687.0
2015-Q4,CY,5574.0
2016-Q1,CY,5458.0
2016-Q2,CY,5296.0
2016-Q3,CY,5146.0
2016-Q4,CY,5072.0
2017-Q1,CY,5116.0
2017-Q2,CY,4871.0
2017-Q3,CY,4742.0
2017-Q4,CY,4631.0
2018-Q1,CY,4172.0
2018-Q2,CY,4129.0
2018-Q3,CY,3907.0
2018-Q4,CY,3880.0
2019-Q1,CY,4008.0
2019-Q2,CY,2974.0
2019-Q3,CY,2926.0
2019-Q4,CY,2895.0
2020-Q1,CY,2917.0
2020-Q2,CY,2531.0
2020-Q3,CY,2381.0
2004-Q1,CZ,189370.0
2004-Q2,CZ,188579.0
2004-Q3,CZ,198725.0
2004-Q4,CZ,190779.0
2005-Q1,CZ,210239.0
2005-Q2,CZ,217114.0
2005-Q3,CZ,218928.0
2005-Q4,CZ,214212.0
2006-Q1,CZ,224253.0
2006-Q2,CZ,225650.0
2006-Q3,CZ,240917.0
2006-Q4,CZ,236416.0
2007-Q1,CZ,243227.0
2007-Q2,CZ,257591.0
2007-Q3,CZ,284749.0
2007-Q4,CZ,296386.0
2008-Q1,CZ,311297.0
2008-Q2,CZ,344078.0
2008-Q3,CZ,359666.0
2008-Q4,CZ,327248.0
2009-Q1,CZ,302337.0
2009-Q2,CZ,288561.0
2009-Q3,CZ,277896.0
2009-Q4,CZ,253017.0
2010-Q1,CZ,256389.0
2010-Q2,CZ,249948.0
2010-Q3,CZ,252547.0
2010-Q4,CZ,242544.0
2011-Q1,CZ,247726.0
2011-Q2,CZ,256463.0
2011-Q3,CZ,266481.0
2011-Q4,CZ,252755.0
2012-Q1,CZ,266482.0
2012-Q2,CZ,266942.0
2012-Q3,CZ,276265.0
2012-Q4,CZ,258972.0
2013-Q1,CZ,264449.0
2013-Q2,CZ,261175.0
2013-Q3,CZ,263779.0
2013-Q4,CZ,255035.0
2014-Q1,CZ,257802.0
2014-Q2,CZ,257105.0
2014-Q3,CZ,262280.0
2014-Q4,CZ,253007.0
2015-Q1,CZ,257533.0
2015-Q2,CZ,265869.0
2015-Q3,CZ,265647.0
2015-Q4,CZ,231558.0
2016-Q1,CZ,245109.0
2016-Q2,CZ,245962.0
2016-Q3,CZ,257036.0
2016-Q4,CZ,235705.0
2017-Q1,CZ,247470.0
2017-Q2,CZ,252324.0
2017-Q3,CZ,265308.0
2017-Q4,CZ,253791.0
2018-Q1,CZ,246906.0
2018-Q2,CZ,254457.0
2018-Q3,CZ,271035.0
2018-Q4,CZ,249572.0
2019-Q1,CZ,257562.0
2019-Q2,CZ,258336.0
2019-Q3,CZ,265464.0
2019-Q4,CZ,245918.0
2020-Q1,CZ,258793.0
2020-Q2,CZ,252237.0
2020-Q3,CZ,255406.0
2000-Q1,DE,220201.0
2000-Q2,DE,225679.0
2000-Q3,DE,210403.0
2000-Q4,DE,236332.0
2001-Q1,DE,238712.0
2001-Q2,DE,241592.0
2001-Q3,DE,232573.0
2001-Q4,DE,240858.0
2002-Q1,DE,222947.0
2002-Q2,DE,229911.0
2002-Q3,DE,226518.0
2002-Q4,DE,224407.0
2003-Q1,DE,215345.0
2003-Q2,DE,209550.0
2003-Q3,DE,197414.0
2003-Q4,DE,203327.0
2004-Q1,DE,193080.0
2004-Q2,DE,185277.0
2004-Q3,DE,176315.0
2004-Q4,DE,179611.0
2005-Q1,DE,179776.0
2005-Q2,DE,178645.0
2005-Q3,DE,174659.0
2005-Q4,DE,171343.0
2006-Q1,DE,167164.0
2006-Q2,DE,170737.0
2006-Q3,DE,167650.0
2006-Q4,DE,167547.0
2007-Q1,DE,160773.0
2007-Q2,DE,161182.0
2007-Q3,DE,163161.0
2007-Q4,DE,171205.0
2008-Q1,DE,174368.0
2008-Q2,DE,182625.0
2008-Q3,DE,182947.0
2008-Q4,DE,185115.0
2009-Q1,DE,188424.0
2009-Q2,DE,180887.0
2009-Q3,DE,165887.0
2009-Q4,DE,146751.0
2010-Q1,DE,150429.0
2010-Q2,DE,151857.0
2010-Q3,DE,142094.0
2010-Q4,DE,144386.0
2011-Q1,DE,140217.0
2011-Q2,DE,134655.0
2011-Q3,DE,134608.0
2011-Q4,DE,142938.0
2012-Q1,DE,140061.0
2012-Q2,DE,137471.0
2012-Q3,DE,125088.0
2012-Q4,DE,125284.0
2013-Q1,DE,132451.0
2013-Q2,DE,137465.0
2013-Q3,DE,126957.0
2013-Q4,DE,115151.0
2014-Q1,DE,123778.0
2014-Q2,DE,130827.0
2014-Q3,DE,124753.0
2014-Q4,DE,109685.0
2015-Q1,DE,119384.0
2015-Q2,DE,128085.0
2015-Q3,DE,121705.0
2015-Q4,DE,108107.0
2016-Q1,DE,108916.0
2016-Q2,DE,104354.0
2016-Q3,DE,110959.0
2016-Q4,DE,97182.0
2017-Q1,DE,100265.0
2017-Q2,DE,101977.0
2017-Q3,DE,103926.0
2017-Q4,DE,95312.0
2018-Q1,DE,112834.0
2018-Q2,DE,118878.0
2018-Q3,DE,121675.0
2018-Q4,DE,110820.0
2019-Q1,DE,127553.0
2019-Q2,DE,134700.0
2019-Q3,DE,126237.0
2019-Q4,DE,126848.0
2020-Q1,DE,128865.0
2020-Q2,DE,93812.0
2020-Q3,DE,98965.0
2012-Q4,DK,228924.0
2013-Q1,DK,238788.0
2013-Q2,DK,235066.0
2013-Q3,DK,236063.0
2013-Q4,DK,240459.0
2014-Q1,DK,224998.0
2014-Q2,DK,218350.0
2014-Q3,DK,208686.0
2014-Q4,DK,213728.0
2015-Q1,DK,195452.0
2015-Q2,DK,197818.0
2015-Q3,DK,196831.0
2015-Q4,DK,185078.0
2016-Q1,DK,201368.0
2016-Q2,DK,200258.0
2016-Q3,DK,194141.0
2016-Q4,DK,183999.0
2017-Q1,DK,213058.0
2017-Q2,DK,212198.0
2017-Q3,DK,205286.0
2017-Q4,DK,200721.0
2018-Q1,DK,209990.0
2018-Q2,DK,220268.0
2018-Q3,DK,217447.0
2018-Q4,DK,211281.0
2019-Q1,DK,217776.0
2019-Q2,DK,211767.0
2019-Q3,DK,205976.0
2019-Q4,DK,211165.0
2020-Q1,DK,218907.0
2020-Q2,DK,194486.0
2020-Q3,DK,198163.0
2004-Q1,EE,253.3
2004-Q2,EE,273.0
2004-Q3,EE,295.3
2004-Q4,EE,311.06
2005-Q1,EE,376.54
2005-Q2,EE,454.79
2005-Q3,EE,466.03
2005-Q4,EE,497.25
2006-Q1,EE,571.96
2006-Q2,EE,686.74
2006-Q3,EE,754.85
2006-Q4,EE,768.09
2007-Q1,EE,826.96
2007-Q2,EE,816.23
2007-Q3,EE,813.5
2007-Q4,EE,864.02
2008-Q1,EE,723.07
2008-Q2,EE,689.29
2008-Q3,EE,674.2
2008-Q4,EE,685.3
2009-Q1,EE,621.93
2009-Q2,EE,673.11
2009-Q3,EE,678.72
2009-Q4,EE,718.04
2010-Q1,EE,569.63
2010-Q2,EE,506.51
2010-Q3,EE,479.23
2010-Q4,EE,521.81
2011-Q1,EE,490.5
2011-Q2,EE,692.6
2011-Q3,EE,624.6
2011-Q4,EE,640.9
2012-Q1,EE,636.6
2012-Q2,EE,525.5
2012-Q3,EE,581.5
2012-Q4,EE,512.9
2013-Q1,EE,581.7
2013-Q2,EE,510.1
2013-Q3,EE,541.6
2013-Q4,EE,490.2
2014-Q1,EE,501.6
2014-Q2,EE,498.9
2014-Q3,EE,512.6
2014-Q4,EE,539.7
2015-Q1,EE,550.7
2015-Q2,EE,520.1
2015-Q3,EE,538.3
2015-Q4,EE,480.8
2016-Q1,EE,477.92
2016-Q2,EE,518.84
2016-Q3,EE,521.65
2016-Q4,EE,551.92
2017-Q1,EE,487.7
2017-Q2,EE,474.98
2017-Q3,EE,420.61
2017-Q4,EE,483.31
2018-Q1,EE,627.07
2018-Q2,EE,575.73
2018-Q3,EE,564.93
2018-Q4,EE,604.41
2019-Q1,EE,496.49
2019-Q2,EE,470.95
2019-Q3,EE,454.13
2019-Q4,EE,493.16
2020-Q1,EE,605.0
2020-Q2,EE,490.21
2020-Q3,EE,451.76
2000-Q1,ES,79711.0
2000-Q2,ES,83626.0
2000-Q3,ES,83164.0
2000-Q4,ES,91664.0
2001-Q1,ES,90175.0
2001-Q2,ES,92970.0
2001-Q3,ES,92601.0
2001-Q4,ES,93952.0
2002-Q1,ES,89930.0
2002-Q2,ES,94632.0
2002-Q3,ES,100402.0
2002-Q4,ES,100759.0
2003-Q1,ES,99199.0
2003-Q2,ES,103767.0
2003-Q3,ES,101677.0
2003-Q4,ES,105036.0
2004-Q1,ES,104755.0
2004-Q2,ES,108263.0
2004-Q3,ES,110027.0
2004-Q4,ES,123461.0
2005-Q1,ES,131832.0
2005-Q2,ES,149387.0
2005-Q3,ES,153784.0
2005-Q4,ES,166011.0
2006-Q1,ES,168335.0
2006-Q2,ES,178457.0
2006-Q3,ES,190523.0
2006-Q4,ES,197923.0
2007-Q1,ES,202693.0
2007-Q2,ES,211005.0
2007-Q3,ES,221333.0
2007-Q4,ES,219582.0
2008-Q1,ES,221149.0
2008-Q2,ES,220302.0
2008-Q3,ES,219603.0
2008-Q4,ES,217425.0
2009-Q1,ES,207529.0
2009-Q2,ES,196257.0
2009-Q3,ES,184768.0
2009-Q4,ES,175605.0
2010-Q1,ES,169483.0
2010-Q2,ES,162001.0
2010-Q3,ES,160830.0
2010-Q4,ES,161920.0
2011-Q1,ES,154324.0
2011-Q2,ES,154520.0
2011-Q3,ES,149153.0
2011-Q4,ES,145065.0
2012-Q1,ES,140967.0
2012-Q2,ES,146412.0
2012-Q3,ES,141442.0
2012-Q4,ES,135307.0
2013-Q1,ES,133765.0
2013-Q2,ES,123441.0
2013-Q3,ES,111272.0
2013-Q4,ES,108823.0
2014-Q1,ES,108628.0
2014-Q2,ES,106749.0
2014-Q3,ES,106507.0
2014-Q4,ES,100102.0
2015-Q1,ES,101697.0
2015-Q2,ES,98629.0
2015-Q3,ES,97863.0
2015-Q4,ES,95563.0
2016-Q1,ES,88095.0
2016-Q2,ES,90785.0
2016-Q3,ES,87790.0
2016-Q4,ES,91621.0
2017-Q1,ES,92096.0
2017-Q2,ES,93634.0
2017-Q3,ES,92706.0
2017-Q4,ES,92983.0
2018-Q1,ES,97650.0
2018-Q2,ES,97204.0
2018-Q3,ES,95906.0
2018-Q4,ES,95107.0
2019-Q1,ES,95015.0
2019-Q2,ES,97156.0
2019-Q3,ES,92582.0
2019-Q4,ES,92293.0
2020-Q1,ES,103380.0
2020-Q2,ES,80248.0
2020-Q3,ES,74449.0
2000-Q1,FI,4340.0
2000-Q2,FI,3640.0
2000-Q3,FI,3803.0
2000-Q4,FI,4343.0
2001-Q1,FI,5000.0
2001-Q2,FI,5499.0
2001-Q3,FI,5144.0
2001-Q4,FI,5153.0
2002-Q1,FI,5136.0
2002-Q2,FI,4588.0
2002-Q3,FI,5552.0
2002-Q4,FI,5503.0
2003-Q1,FI,5235.0
2003-Q2,FI,5731.0
2003-Q3,FI,5609.0
2003-Q4,FI,5192.0
2004-Q1,FI,5806.0
2004-Q2,FI,5987.0
2004-Q3,FI,5635.0
2004-Q4,FI,5298.0
2005-Q1,FI,6156.0
2005-Q2,FI,7580.0
2005-Q3,FI,6538.0
2005-Q4,FI,6610.0
2006-Q1,FI,6901.0
2006-Q2,FI,7404.0
2006-Q3,FI,7254.0
2006-Q4,FI,7277.0
2007-Q1,FI,7594.0
2007-Q2,FI,7661.0
2007-Q3,FI,8165.0
2007-Q4,FI,8711.0
2008-Q1,FI,9988.0
2008-Q2,FI,10768.0
2008-Q3,FI,12161.0
2008-Q4,FI,12886.0
2009-Q1,FI,11036.0
2009-Q2,FI,10104.0
2009-Q3,FI,8659.0
2009-Q4,FI,7294.0
2010-Q1,FI,7370.0
2010-Q2,FI,8227.0
2010-Q3,FI,7901.0
2010-Q4,FI,7220.0
2011-Q1,FI,7760.0
2011-Q2,FI,8267.0
2011-Q3,FI,8192.0
2011-Q4,FI,7798.0
2012-Q1,FI,8147.0
2012-Q2,FI,8504.0
2012-Q3,FI,8325.0
2012-Q4,FI,7999.0
2013-Q1,FI,8322.0
2013-Q2,FI,8597.0
2013-Q3,FI,8598.0
2013-Q4,FI,8466.0
2014-Q1,FI,8314.0
2014-Q2,FI,8599.0
2014-Q3,FI,8288.0
2014-Q4,FI,8146.0
2015-Q1,FI,9042.0
2015-Q2,FI,8997.0
2015-Q3,FI,8947.0
2015-Q4,FI,8589.0
2016-Q1,FI,8561.0
2016-Q2,FI,8467.0
2016-Q3,FI,8143.0
2016-Q4,FI,7858.0
2017-Q1,FI,8343.0
2017-Q2,FI,8272.0
2017-Q3,FI,7911.0
2017-Q4,FI,7586.0
2018-Q1,FI,7736.0
2018-Q2,FI,8047.0
2018-Q3,FI,8141.0
2018-Q4,FI,8090.0
2019-Q1,FI,8356.0
2019-Q2,FI,8575.0
2019-Q3,FI,8705.0
2019-Q4,FI,8487.0
2020-Q1,FI,9022.0
2020-Q2,FI,9172.0
2020-Q3,FI,8398.0
2000-Q1,FR,134859.0
2000-Q2,FR,134904.0
2000-Q3,FR,146518.0
2000-Q4,FR,144904.0
2001-Q1,FR,151583.0
2001-Q2,FR,148898.0
2001-Q3,FR,149534.0
2001-Q4,FR,134878.0
2002-Q1,FR,143850.0
2002-Q2,FR,138604.0
2002-Q3,FR,130120.0
2002-Q4,FR,123449.0
2003-Q1,FR,143219.0
2003-Q2,FR,144752.0
2003-Q3,FR,138583.0
2003-Q4,FR,138214.0
2004-Q1,FR,130106.0
2004-Q2,FR,139589.0
2004-Q3,FR,138019.0
2004-Q4,FR,144963.0
2005-Q1,FR,142079.0
2005-Q2,FR,147664.0
2005-Q3,FR,141094.0
2005-Q4,FR,152418.0
2006-Q1,FR,150918.0
2006-Q2,FR,154922.0
2006-Q3,FR,151970.0
2006-Q4,FR,162212.0
2007-Q1,FR,165155.0
2007-Q2,FR,171730.0
2007-Q3,FR,171674.0
2007-Q4,FR,178110.0
2008-Q1,FR,184792.0
2008-Q2,FR,189164.0
2008-Q3,FR,184150.0
2008-Q4,FR,180808.0
2009-Q1,FR,164951.0
2009-Q2,FR,155647.0
2009-Q3,FR,147149.0
2009-Q4,FR,153421.0
2010-Q1,FR,150752.0
2010-Q2,FR,149497.0
2010-Q3,FR,145379.0
2010-Q4,FR,148379.0
2011-Q1,FR,144402.0
2011-Q2,FR,154206.0
2011-Q3,FR,146878.0
2011-Q4,FR,145934.0
2012-Q1,FR,144299.0
2012-Q2,FR,151533.0
2012-Q3,FR,145790.0
2012-Q4,FR,148583.0
2013-Q1,FR,151284.0
2013-Q2,FR,150057.0
2013-Q3,FR,143813.0
2013-Q4,FR,145517.0
2014-Q1,FR,145313.0
2014-Q2,FR,150325.0
2014-Q3,FR,143075.0
2014-Q4,FR,147580.0
2015-Q1,FR,152177.0
2015-Q2,FR,156222.0
2015-Q3,FR,151362.0
2015-Q4,FR,154300.0
2016-Q1,FR,159203.0
2016-Q2,FR,163707.0
2016-Q3,FR,149474.0
2016-Q4,FR,153389.0
2017-Q1,FR,157869.0
2017-Q2,FR,158860.0
2017-Q3,FR,153776.0
2017-Q4,FR,161172.0
2018-Q1,FR,163311.0
2018-Q2,FR,166304.0
2018-Q3,FR,163051.0
2018-Q4,FR,170365.0
2019-Q1,FR,172403.0
2019-Q2,FR,173630.0
